Date,Time,Hour,Day,Day_Number,Month,Month_Number,Latitude,Longitude,Area,Crime_Type,Crime_Count,Weather,Population_Density
2026-10-09,16:35,16,Friday,5,October,10,12.985072,77.644531,Indiranagar,Burglary,5,Sunny,High
2025-07-15,17:28,17,Tuesday,2,July,7,12.975043,77.647521,Indiranagar,Robbery,3,Rainy,Medium
2025-01-27,20:02,20,Monday,1,January,1,12.913793,77.607608,BTM Layout,Robbery,8,Partly Cloudy,High
2025-12-26,07:06,7,Friday,5,December,12,12.920761,77.544992,Banashankari,Assault,6,Sunny,Very High
2026-08-17,16:57,16,Monday,1,August,8,12.90821,77.483972,Kengeri,Cyber Crime,1,Partly Cloudy,Low
2026-03-27,10:42,10,Friday,5,March,3,12.969176,77.748288,Whitefield,Vandalism,2,Rainy,Medium
2026-08-06,18:46,18,Thursday,4,August,8,12.947773,77.576669,Basavanagudi,Fraud,6,Partly Cloudy,Low
2025-08-21,04:36,4,Thursday,4,August,8,12.837569,77.667275,Electronic City,Burglary,6,Rainy,Medium
2026-02-14,18:30,18,Saturday,6,February,2,12.958237,77.692292,Marathahalli,Assault,4,Cloudy,Low
2026-01-15,09:25,9,Thursday,4,January,1,12.918757,77.603927,BTM Layout,Fraud,2,Partly Cloudy,Medium
2025-09-24,16:31,16,Wednesday,3,September,9,12.93172,77.591533,Jayanagar,Missing Person,5,Cloudy,High
2025-08-11,16:43,16,Monday,1,August,8,12.851426,77.662282,Electronic City,Assault,4,Sunny,Medium
2025-11-07,08:33,8,Friday,5,November,11,12.984819,77.636882,Indiranagar,Robbery,5,Sunny,Medium
2026-11-06,13:31,13,Friday,5,November,11,13.005546,77.564055,Malleshwaram,Robbery,3,Sunny,High
2026-06-18,12:00,12,Thursday,4,June,6,12.906533,77.634761,HSR Layout,Cyber Crime,1,Cloudy,Medium
2026-08-24,23:59,23,Monday,1,August,8,12.962461,77.698661,Marathahalli,Theft,8,Rainy,Medium
2025-05-30,14:15,14,Friday,5,May,5,12.936662,77.570709,Basavanagudi,Burglary,4,Rainy,Low
2026-06-19,19:51,19,Friday,5,June,6,12.939647,77.627971,Koramangala,Accident,4,Partly Cloudy,Medium
2025-04-07,04:00,4,Monday,1,April,4,12.943593,77.573598,Basavanagudi,Accident,3,Sunny,Low
2025-04-28,21:26,21,Monday,1,April,4,12.906185,77.634607,HSR Layout,Theft,10,Partly Cloudy,Low
2026-06-04,13:51,13,Thursday,4,June,6,12.930695,77.628172,Koramangala,Theft,4,Partly Cloudy,Medium
2026-04-17,06:40,6,Friday,5,April,4,12.936055,77.572907,Basavanagudi,Accident,3,Cloudy,Medium
2025-11-14,06:30,6,Friday,5,November,11,12.925734,77.552985,Banashankari,Robbery,2,Partly Cloudy,Low
2026-02-22,11:41,11,Sunday,7,February,2,13.02336,77.538247,Yeshwanthpur,Accident,10,Sunny,Very High
2025-03-28,03:14,3,Friday,5,March,3,12.988224,77.549064,Rajajinagar,Vandalism,4,Sunny,High
2025-12-14,17:26,17,Sunday,7,December,12,12.841173,77.661711,Electronic City,Assault,3,Cloudy,High
